"","logFC","logCPM","PValue","FDR"
"TRINITY_DN1201_c0_g1_i1",8.07505141765095,10.2012837447657,4.77921490188586e-281,3.70532531343211e-277
"TRINITY_DN250_c0_g1_i1",-3.15903375070097,8.63670201605751,4.1907162195016e-111,1.62453114248979e-107
"TRINITY_DN3329_c0_g1_i1",-2.68221229150024,8.0104147283774,5.28043765181734e-78,1.364641103818e-74
"TRINITY_DN1697_c0_g1_i1",-2.18302761180957,8.74969232698822,7.04579021345877e-77,1.36565028812365e-73
"TRINITY_DN350_c0_g1_i1",-5.34052250278255,6.27957122271612,3.75195895568688e-72,5.81778755668807e-69
"TRINITY_DN391_c0_g1_i1",-2.1613767800905,8.94808206949025,5.83101935242541e-71,7.53464883989237e-68
"TRINITY_DN6707_c0_g1_i1",-2.13520170300547,6.61612673717946,2.69939890650058e-64,2.77225220020445e-61
"TRINITY_DN232_c0_g1_i1",-2.59337162261328,8.03418508948484,2.860572372196e-64,2.77225220020445e-61
"TRINITY_DN5018_c0_g1_i1",-2.58012161059537,5.46210797470761,1.08915195208841e-62,9.38243898282387e-60
"TRINITY_DN6050_c0_g1_i2",4.72667208727094,3.92840463165746,1.8725870123052e-62,1.45181671064022e-59
"TRINITY_DN4660_c0_g1_i1",2.35342355926418,6.3394711016119,1.96981371731013e-59,1.38836052275504e-56
"TRINITY_DN6253_c0_g1_i1",-4.35799659045645,5.83288106807333,9.0660400376291e-58,5.85741736764487e-55
"TRINITY_DN590_c0_g1_i1",-3.6481868052529,7.04852223458339,9.50435911355817e-56,5.66825355441665e-53
"TRINITY_DN2759_c0_g1_i1",-2.93593291298435,8.09696892347922,1.60031342173577e-52,8.8623071133696e-50
"TRINITY_DN4761_c0_g1_i1",-1.77916279825646,7.07088867406872,6.94191778116075e-51,3.58804590382262e-48
"TRINITY_DN2280_c0_g1_i1",3.65264222634039,4.66883921761224,4.05665064788712e-50,1.9657007795668e-47
"TRINITY_DN357_c0_g1_i1",-2.82012501341372,9.78082303917403,3.12688594316995e-47,1.42604392455274e-44
"TRINITY_DN897_c0_g1_i1",-1.97371086757776,7.62821722283774,5.75026668124493e-47,2.47676764331622e-44
"TRINITY_DN3707_c0_g1_i2",-3.82176569215373,6.55267108685448,4.15991262137038e-45,1.69746329228866e-42
"TRINITY_DN3707_c0_g1_i1",-4.59095379554784,5.50090901953252,6.49621496009133e-43,2.51825772927941e-40
"TRINITY_DN3814_c0_g1_i1",2.23289236154916,5.69788819584417,2.00035656539562e-42,7.38512592929154e-40
"TRINITY_DN1798_c0_g1_i1",1.9485504037963,9.51377892609003,2.18082441465492e-42,7.68542349400889e-40
"TRINITY_DN730_c0_g1_i1",-2.51997668025549,7.96114451028965,3.4436375692489e-42,1.16080530758203e-39
"TRINITY_DN3223_c0_g1_i1",-2.58724279951457,10.4901452242802,1.32431685239517e-41,4.27809523192489e-39
"TRINITY_DN6252_c0_g1_i1",-4.08958094239146,5.47610743522261,7.61792001586189e-38,2.36246935531909e-35
"TRINITY_DN4496_c0_g1_i1",-2.53246436304029,5.61598766858122,7.26501497446452e-37,2.16637158065475e-34
"TRINITY_DN590_c1_g1_i3",-2.63301012416399,5.52734224558842,2.62829078453698e-36,7.49940636596222e-34
"TRINITY_DN1439_c0_g1_i1",1.56082691981595,8.60575010185079,2.70841452659541e-36,7.49940636596222e-34
"TRINITY_DN371_c0_g1_i1",-1.57672534086318,6.50978601449349,7.73665461918287e-36,2.06835459525947e-33
"TRINITY_DN520_c0_g2_i1",3.13076329225876,3.38587537821009,1.51510456748395e-35,3.91553523723436e-33
"TRINITY_DN507_c0_g1_i1",-2.64019033737822,6.44693762977544,4.36328085506695e-35,1.09124246675271e-32
"TRINITY_DN3202_c0_g1_i1",-1.51012897401793,5.93580575423777,2.20086738779285e-34,5.33228901798688e-32
"TRINITY_DN2437_c0_g1_i1",-1.34495432707884,7.48986455896303,5.62229149862948e-34,1.32089775723862e-31
"TRINITY_DN1993_c0_g1_i1",2.41829842281866,4.44778442228118,6.27513811831062e-34,1.43091605386065e-31
"TRINITY_DN3548_c0_g1_i1",1.97043233890331,8.74648907497518,7.88433024537341e-33,1.74649178263943e-30
"TRINITY_DN601_c2_g1_i1",-1.33150393662911,9.14160568672786,1.82890925030959e-32,3.93875928268063e-30
"TRINITY_DN5535_c0_g1_i1",2.57502192862004,4.10186252787343,2.16022194414174e-32,4.52654073862998e-30
"TRINITY_DN589_c0_g2_i1",-1.23823371787938,11.248016691741,1.79839582015443e-31,3.66920073517298e-29
"TRINITY_DN5158_c0_g1_i1",-1.38081497683063,7.51587862959595,2.51287279913606e-30,4.99546225941074e-28
"TRINITY_DN3758_c0_g1_i1",1.51498257442522,6.1988357103009,3.25748859798065e-30,6.313827275036e-28
"TRINITY_DN5462_c0_g1_i1",-4.29506402453015,6.07031403963377,8.87605834493383e-30,1.67844098410419e-27
"TRINITY_DN2223_c0_g1_i1",3.94290785676269,5.55714262925324,1.20587027993179e-29,2.2259791143598e-27
"TRINITY_DN3337_c0_g1_i1",-1.49780703483288,5.87611735509685,1.28803725611879e-29,2.32236112713698e-27
"TRINITY_DN104_c0_g1_i1",-1.60550142181706,8.75034342309054,1.43518970006125e-29,2.52886948740338e-27
"TRINITY_DN1157_c0_g1_i1",-1.31642369098586,7.59318058671494,3.80746919582163e-29,6.55984637226781e-27
"TRINITY_DN2943_c0_g1_i1",1.68284080669212,5.42414582889047,5.87561510170767e-29,9.90296606163903e-27
"TRINITY_DN5646_c0_g1_i1",1.784812850429,5.48628829488605,1.15519432598987e-28,1.90557906582967e-26
"TRINITY_DN445_c0_g1_i1",1.47877221739254,6.89263779259952,2.25484750771246e-28,3.64204848485306e-26
"TRINITY_DN1528_c0_g1_i1",-1.54632291805432,8.41705322909973,4.21530067733677e-28,6.66963799007999e-26
"TRINITY_DN590_c1_g1_i2",-2.75852363288775,6.53954525221807,6.38967649693742e-28,9.90783237615116e-26
"TRINITY_DN4788_c0_g1_i1",1.71495548252333,5.22664663529699,7.00338977315433e-27,1.06465256688756e-24
"TRINITY_DN4140_c0_g1_i1",1.456033687429,6.2937820912739,1.45792157987075e-26,2.17370500168037e-24
